index,X,Y,P,Sum
0,524993.8549578502,4527419.283938845,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0
1,524993.8549578502,4491504.228344219,"[0.021401819154628143, 0.10914927768860354, 0.2958801498127341, 0.14820759764579988, 0.1187800963081862, 0.025682182985553772, 0.010165864098448368, 0.013643659711075442, 0.00749063670411985, 0.08587479935794542, 0.023274478330658106, 0.013911182450508293, 0.045211342964151954, 0.08132691278758694]",3738
2,524993.8549578502,4455589.172749596,"[0.040991902834008095, 0.09294871794871795, 0.038461538461538464, 0.3033906882591093, 0.1301450742240216, 0.08544197031039136, 0.01206140350877193, 0.04445006747638327, 0.01695344129554656, 0.04326923076923077, 0.03297908232118758, 0.019230769230769232, 0.017796896086369772, 0.12187921727395412]",11856
3,524993.8549578502,4419674.117154972,"[0, 0.21212121212121213, 0.12121212121212122, 0, 0, 0.12121212121212122, 0.12121212121212122, 0.030303030303030304, 0, 0.030303030303030304, 0.06060606060606061, 0.06060606060606061, 0.06060606060606061, 0.18181818181818182]",33
4,524993.8549578502,4383759.061560349,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0
5,489112.4263210857,4527419.283938845,"[0.029197080291970802, 0.22627737226277372, 0.06204379562043796, 0.12773722627737227, 0.09124087591240876, 0.029197080291970802, 0.0072992700729927005, 0.010948905109489052, 0.0036496350364963502, 0.025547445255474453, 0.014598540145985401, 0.010948905109489052, 0.021897810218978103, 0.33941605839416056]",274
6,489112.4263210857,4491504.228344219,"[0.023069894929191412, 0.1267702147099132, 0.19323892188213795, 0.1158063042485153, 0.10918227501142073, 0.0429419826404751, 0.017131110095934217, 0.02215623572407492, 0.005253540429419826, 0.14641388761991778, 0.01735952489721334, 0.026496116948378255, 0.06167199634536318, 0.09250799451804477]",4378
7,489112.4263210857,4455589.172749596,"[0.03993551204111107, 0.0829946595909045, 0.015047190407416115, 0.2789104221946059, 0.12565075739764217, 0.14224297182010545, 0.01343499143519296, 0.04134618614180634, 0.01330064152084103, 0.026500520605918114, 0.04661942028011957, 0.026433345648742147, 0.01162126759144191, 0.13596211332415276]",29773
8,489112.4263210857,4419674.117154972,"[0.03355132214955928, 0.07851659287542143, 0.011251472439985376, 0.2232422113002153, 0.13562695479101508, 0.12965595678134775, 0.021446849993907145, 0.08534059060075551, 0.008733092327064462, 0.0287176570941143, 0.03915674885251229, 0.03387627442219424, 0.01182013891709655, 0.15906413745481132]",24619
9,489112.4263210857,4383759.061560349,"[0.030522892169126844, 0.059794846134600954, 0.0040030022516887665, 0.29271953965474107, 0.11358518889166876, 0.1733800350262697, 0.011758819114335751, 0.040280210157618214, 0.010257693269952465, 0.02151613710282712, 0.053039779834876156, 0.02051538653990493, 0.008756567425569177, 0.15986990242682012]",3997
10,453230.9976843214,4527419.283938845,"[0.028314028314028315, 0.2097812097812098, 0.16859716859716858, 0.07078507078507079, 0.09652509652509653, 0.019305019305019305, 0.010296010296010296, 0.02059202059202059, 0.014157014157014158, 0.0990990990990991, 0.019305019305019305, 0.014157014157014158, 0.06048906048906049, 0.16859716859716858]",777
11,453230.9976843214,4491504.228344219,"[0.016349583828775268, 0.1539833531510107, 0.25951248513674197, 0.07550535077288942, 0.07728894173602854, 0.024078478002378122, 0.020214030915576695, 0.02051129607609988, 0.0077288941736028535, 0.14863258026159334, 0.014268727705112961, 0.01159334126040428, 0.06480380499405469, 0.10552913198573127]",3364
12,453230.9976843214,4455589.172749596,"[0.04020191390706699, 0.0822125028774376, 0.02877437600710316, 0.2337137031799796, 0.15865368805287908, 0.11432470650136473, 0.01943503568022625, 0.05340524186918347, 0.012151007925285277, 0.02262488079187083, 0.04173106646058733, 0.04245453648590878, 0.007908842776809498, 0.1424084974842974]",60818
13,453230.9976843214,4419674.117154972,"[0.03532899027761211, 0.11203205774047746, 0.019396557193577284, 0.21118721750892677, 0.15012980948586307, 0.11063118117749766, 0.020076692916183424, 0.07268569862374029, 0.022228764157862548, 0.012828679394679207, 0.028908306030621334, 0.05150251624839166, 0.01154708036514152, 0.14151644887942563]",394039
14,453230.9976843214,4383759.061560349,"[0.037627226463104325, 0.09093511450381679, 0.018161577608142493, 0.23361959287531806, 0.1524173027989822, 0.13517811704834606, 0.015012722646310433, 0.05012722646310432, 0.010591603053435114, 0.02073791348600509, 0.04233460559796438, 0.03148854961832061, 0.008969465648854962, 0.15279898218829516]",31440
15,417349.5690475569,4527419.283938845,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0
16,417349.5690475569,4491504.228344219,"[0.034268557821720676, 0.09214204368982297, 0.10953514856610415, 0.23563515891914277, 0.15022259033026192, 0.051454601925665186, 0.011077751320012423, 0.04855575111295165, 0.014287193291230977, 0.034682679366394034, 0.034993270524899055, 0.027332021948441868, 0.0458639610725748, 0.10994927011077751]",9659
17,417349.5690475569,4455589.172749596,"[0.03641946150212565, 0.08044402456306093, 0.03618327822390175, 0.2316957959376476, 0.15049598488427018, 0.1103448275862069, 0.01606046291922532, 0.05729806329711856, 0.009683514407179971, 0.03589985829003307, 0.03613604156825697, 0.0353330184222957, 0.023996221067548416, 0.14000944733112897]",21170
18,417349.5690475569,4419674.117154972,"[0.03543377765809434, 0.10935326062564517, 0.014631300210942059, 0.19819577218257708, 0.14243077061173198, 0.10457340334814416, 0.01927651362147121, 0.05672994928414344, 0.015304519545801355, 0.01867061622009784, 0.03709438535074727, 0.05206229522911898, 0.03327947578654459, 0.16296396032494054]",44562
19,417349.5690475569,4383759.061560349,"[0.044525646230883745, 0.06749898497766951, 0.011334416023819191, 0.26113141155772096, 0.15326837190418188, 0.11943429422113953, 0.01532683719041819, 0.04912708079577751, 0.012450940587359589, 0.01620652321017729, 0.05376234943835431, 0.03444309108133712, 0.008898362430640142, 0.15259169035052106]",29556
20,381468.1404107925,4527419.283938845,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0
21,381468.1404107925,4491504.228344219,"[0, 0.10857142857142857, 0.26857142857142857, 0.12, 0.08571428571428572, 0.011428571428571429, 0.05142857142857143, 0.04, 0.005714285714285714, 0.06857142857142857, 0.022857142857142857, 0.03428571428571429, 0.14857142857142858, 0.03428571428571429]",175
22,381468.1404107925,4455589.172749596,"[0, 0.16666666666666666, 0.08333333333333333, 0, 0.041666666666666664, 0.041666666666666664, 0, 0, 0, 0.125, 0, 0, 0.20833333333333334, 0.3333333333333333]",24
23,381468.1404107925,4419674.117154972,"[0.02220888355342137, 0.1908763505402161, 0.1134453781512605, 0.06902761104441776, 0.05342136854741897, 0.03181272509003601, 0.011404561824729893, 0.02581032412965186, 0.006602641056422569, 0.06302521008403361, 0.015006002400960384, 0.005402160864345739, 0.15846338535414164, 0.2334933973589436]",1666
24,381468.1404107925,4383759.061560349,"[0.026037195994277538, 0.08755364806866953, 0.15050071530758227, 0.1748211731044349, 0.09871244635193133, 0.04978540772532189, 0.01917024320457797, 0.02575107296137339, 0.004864091559370529, 0.10243204577968526, 0.022031473533619457, 0.015736766809728183, 0.11044349070100143, 0.11216022889842632]",3495
